CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location Point1
40716625,PRUNE,Manhattan,54,EAST    1 STREET,10003,2126776221,American,09/20/2016,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,12,A,09/20/2016,06/06/2024,Cycle Inspection / Re-inspection,40.723654383691,-73.989353547482,103,02,003602,1006105,1004430050,MN22,
40716625,PRUNE,Manhattan,54,EAST    1 STREET,10003,2126776221,American,09/20/2016,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,12,A,09/20/2016,06/06/2024,Cycle Inspection / Re-inspection,40.723654383691,-73.989353547482,103,02,003602,1006105,1004430050,MN22,
40934037,JIKJI CAFE,Queens,JFK INT'L,AIRPORT,11430,7187512003,Japanese,09/21/2016,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7,,,06/06/2024,Cycle Inspection / Initial Inspection,40.648312826068,-73.788281497594,483,28,071600,4000000,4142600001,QN98,
40934037,JIKJI CAFE,Queens,JFK INT'L,AIRPORT,11430,7187512003,Japanese,09/21/2016,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,7,,,06/06/2024,Cycle Inspection / Initial Inspection,40.648312826068,-73.788281497594,483,28,071600,4000000,4142600001,QN98,
50051128,SUGAR BOWL,Queens,20318,BREEZY POINT BLVD,,7183189000,American,09/22/2016,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,11,A,09/22/2016,06/06/2024,Pre-permit (Operational) / Re-inspection,0,0,,,,,4,,
50050112,MCFADDENS,Queens,36-02,126 STREET,11368,7186512220,American,09/22/2016,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,12,,,06/06/2024,Pre-permit (Operational) / Compliance Inspection,40.758284826472,-73.844742645678,481,21,038302,4536844,4017870020,QN99,
50050112,MCFADDENS,Queens,36-02,126 STREET,11368,7186512220,American,09/22/2016,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,12,,,06/06/2024,Pre-permit (Operational) / Compliance Inspection,40.758284826472,-73.844742645678,481,21,038302,4536844,4017870020,QN99,
50051128,SUGAR BOWL,Queens,20318,BREEZY POINT BLVD,,7183189000,American,09/22/2016,Violations were cited in the following area(s).,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Not Critical,11,A,09/22/2016,06/06/2024,Pre-permit (Operational) / Re-inspection,0,0,,,,,4,,
50051128,SUGAR BOWL,Queens,20318,BREEZY POINT BLVD,,7183189000,American,09/22/2016,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,11,A,09/22/2016,06/06/2024,Pre-permit (Operational) / Re-inspection,0,0,,,,,4,,
50055248,BELLE HARLEM,Manhattan,2363,A C POWELL BOULEVARD,10030,5856872821,American,09/22/2016,Violations were cited in the following area(s).,05F,Insufficient or no refrigerated or hot holding equipment to keep potentially hazardous foods at required temperatures.,Critical,58,,,06/06/2024,Pre-permit (Non-operational) / Initial Inspection,40.817332569431,-73.942205362445,110,09,023000,1060016,1020070002,MN03,
50055248,BELLE HARLEM,Manhattan,2363,A C POWELL BOULEVARD,10030,5856872821,American,09/22/2016,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,58,,,06/06/2024,Pre-permit (Non-operational) / Initial Inspection,40.817332569431,-73.942205362445,110,09,023000,1060016,1020070002,MN03,
50055248,BELLE HARLEM,Manhattan,2363,A C POWELL BOULEVARD,10030,5856872821,American,09/22/2016,Violations were cited in the following area(s).,05C,Food contact surface improperly constructed or located. Unacceptable material used.,Critical,58,,,06/06/2024,Pre-permit (Non-operational) / Initial Inspection,40.817332569431,-73.942205362445,110,09,023000,1060016,1020070002,MN03,
50035307,RAZOR'S BAR & LOUNGE,Brooklyn,87,CENTRAL AVENUE,11206,6466898572,Spanish,09/23/2016,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,20,B,09/23/2016,06/06/2024,Pre-permit (Operational) / Re-inspection,40.700654100071,-73.929669743105,304,34,042500,3072269,3031730008,BK78,
50035307,RAZOR'S BAR & LOUNGE,Brooklyn,87,CENTRAL AVENUE,11206,6466898572,Spanish,09/23/2016,Violations were cited in the following area(s).,15L,"Smoke free workplace smoking policy inadequate, not posted, not provided to employees.",Not Applicable,,,,06/06/2024,Smoke-Free Air Act / Re-inspection,40.700654100071,-73.929669743105,304,34,042500,3072269,3031730008,BK78,
50035307,RAZOR'S BAR & LOUNGE,Brooklyn,87,CENTRAL AVENUE,11206,6466898572,Spanish,09/23/2016,Violations were cited in the following area(s).,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Not Critical,20,B,09/23/2016,06/06/2024,Pre-permit (Operational) / Re-inspection,40.700654100071,-73.929669743105,304,34,042500,3072269,3031730008,BK78,
50035307,RAZOR'S BAR & LOUNGE,Brooklyn,87,CENTRAL AVENUE,11206,6466898572,Spanish,09/23/2016,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,20,B,09/23/2016,06/06/2024,Pre-permit (Operational) / Re-inspection,40.700654100071,-73.929669743105,304,34,042500,3072269,3031730008,BK78,
41316251,"HURON CLUB, SOHO PLAYHOUSE",Manhattan,15,VANDAM STREET,10013,2126911555,American,09/28/2016,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,32,,,06/06/2024,Cycle Inspection / Re-inspection,40.726322703743,-74.004470174465,102,03,003700,1007836,1005060047,MN24,
41316251,"HURON CLUB, SOHO PLAYHOUSE",Manhattan,15,VANDAM STREET,10013,2126911555,American,09/28/2016,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,32,,,06/06/2024,Cycle Inspection / Re-inspection,40.726322703743,-74.004470174465,102,03,003700,1007836,1005060047,MN24,
41316251,"HURON CLUB, SOHO PLAYHOUSE",Manhattan,15,VANDAM STREET,10013,2126911555,American,09/28/2016,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,32,,,06/06/2024,Cycle Inspection / Re-inspection,40.726322703743,-74.004470174465,102,03,003700,1007836,1005060047,MN24,
41316251,"HURON CLUB, SOHO PLAYHOUSE",Manhattan,15,VANDAM STREET,10013,2126911555,American,09/28/2016,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,32,,,06/06/2024,Cycle Inspection / Re-inspection,40.726322703743,-74.004470174465,102,03,003700,1007836,1005060047,MN24,
41316251,"HURON CLUB, SOHO PLAYHOUSE",Manhattan,15,VANDAM STREET,10013,2126911555,American,09/28/2016,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,32,,,06/06/2024,Cycle Inspection / Re-inspection,40.726322703743,-74.004470174465,102,03,003700,1007836,1005060047,MN24,
41316251,"HURON CLUB, SOHO PLAYHOUSE",Manhattan,15,VANDAM STREET,10013,2126911555,American,09/28/2016,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,32,,,06/06/2024,Cycle Inspection / Re-inspection,40.726322703743,-74.004470174465,102,03,003700,1007836,1005060047,MN24,
41316251,"HURON CLUB, SOHO PLAYHOUSE",Manhattan,15,VANDAM STREET,10013,2126911555,American,09/28/2016,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,32,,,06/06/2024,Cycle Inspection / Re-inspection,40.726322703743,-74.004470174465,102,03,003700,1007836,1005060047,MN24,
41534242,MCMURRAY HALL (SUNY MARITIME),Bronx,6,PENNYFIELD AVENUE,10465,7184095148,American,09/29/2016,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,3,A,09/29/2016,06/06/2024,Cycle Inspection / Re-inspection,40.809102838289,-73.801249547633,210,13,011800,2100430,2055300050,BX52,
41697952,MARYANN'S WOODSIDE EVENTS,Queens,58-02,37 AVENUE,11377,7184403464,Filipino,10/01/2016,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,24,,,06/06/2024,Cycle Inspection / Initial Inspection,40.750110083178,-73.904190628729,402,26,025900,4027705,4012130048,QN63,
41697952,MARYANN'S WOODSIDE EVENTS,Queens,58-02,37 AVENUE,11377,7184403464,Filipino,10/01/2016,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,24,,,06/06/2024,Cycle Inspection / Initial Inspection,40.750110083178,-73.904190628729,402,26,025900,4027705,4012130048,QN63,
41697952,MARYANN'S WOODSIDE EVENTS,Queens,58-02,37 AVENUE,11377,7184403464,Filipino,10/01/2016,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,24,,,06/06/2024,Cycle Inspection / Initial Inspection,40.750110083178,-73.904190628729,402,26,025900,4027705,4012130048,QN63,
41697952,MARYANN'S WOODSIDE EVENTS,Queens,58-02,37 AVENUE,11377,7184403464,Filipino,10/01/2016,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,24,,,06/06/2024,Cycle Inspection / Initial Inspection,40.750110083178,-73.904190628729,402,26,025900,4027705,4012130048,QN63,
50015450,SAGWA NAMOO,Queens,162-07,DEPOT ROAD,11358,7183210085,Korean,10/06/2016,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7,A,10/06/2016,06/06/2024,Cycle Inspection / Initial Inspection,40.762031454043,-73.80356006522,407,19,117100,4119544,4052850001,QN51,
50015450,SAGWA NAMOO,Queens,162-07,DEPOT ROAD,11358,7183210085,Korean,10/06/2016,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,7,A,10/06/2016,06/06/2024,Cycle Inspection / Initial Inspection,40.762031454043,-73.80356006522,407,19,117100,4119544,4052850001,QN51,
41633807,MANHATTAN CENTER,Manhattan,311,WEST   34 STREET,10001,2122797740,American,10/07/2016,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7,A,10/07/2016,06/06/2024,Cycle Inspection / Initial Inspection,40.752455530016,-73.994087950516,104,03,011100,1013560,1007580028,MN13,
41633807,MANHATTAN CENTER,Manhattan,311,WEST   34 STREET,10001,2122797740,American,10/07/2016,Violations were cited in the following area(s).,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn in an area where food is prepared.,Critical,7,A,10/07/2016,06/06/2024,Cycle Inspection / Initial Inspection,40.752455530016,-73.994087950516,104,03,011100,1013560,1007580028,MN13,
50048051,SALSA ZONE,Bronx,370,EAST  146 STREET,10455,6465296468,American,10/08/2016,Violations were cited in the following area(s).,04E,"Toxic chemical improperly labeled, stored or used such that food contamination may occur.",Critical,17,,,06/06/2024,Pre-permit (Operational) / Initial Inspection,40.814459195977,-73.919957330924,201,08,004300,2000663,2023070013,BX39,
50048051,SALSA ZONE,Bronx,370,EAST  146 STREET,10455,6465296468,American,10/08/2016,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,17,,,06/06/2024,Pre-permit (Operational) / Initial Inspection,40.814459195977,-73.919957330924,201,08,004300,2000663,2023070013,BX39,
50048051,SALSA ZONE,Bronx,370,EAST  146 STREET,10455,6465296468,American,10/08/2016,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,17,,,06/06/2024,Pre-permit (Operational) / Initial Inspection,40.814459195977,-73.919957330924,201,08,004300,2000663,2023070013,BX39,
41183237,809 GRILL & BAR RESTAURANT,Manhattan,112,DYCKMAN STREET,10040,2123043800,Latin American,10/12/2016,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,17,,,06/06/2024,Cycle Inspection / Initial Inspection,40.86201245293,-73.925022728194,112,10,028500,1064174,1021740064,MN35,
40385057,CAPPUCCINO CAFE,Brooklyn,7721,3 AVENUE,11209,7182388700,American,10/12/2016,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,6,A,10/12/2016,06/06/2024,Cycle Inspection / Re-inspection,40.629799231638,-74.028457339077,310,43,006400,3149776,3059600003,BK31,
40385057,CAPPUCCINO CAFE,Brooklyn,7721,3 AVENUE,11209,7182388700,American,10/12/2016,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,6,A,10/12/2016,06/06/2024,Cycle Inspection / Re-inspection,40.629799231638,-74.028457339077,310,43,006400,3149776,3059600003,BK31,
41183237,809 GRILL & BAR RESTAURANT,Manhattan,112,DYCKMAN STREET,10040,2123043800,Latin American,10/12/2016,Violations were cited in the following area(s).,05D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,Critical,17,,,06/06/2024,Cycle Inspection / Initial Inspection,40.86201245293,-73.925022728194,112,10,028500,1064174,1021740064,MN35,
40402418,NEW YORK JR. LEAGUE,Manhattan,130,EAST   80 STREET,10075,2122886220,Coffee/Tea,10/13/2016,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,9,A,10/13/2016,06/06/2024,Cycle Inspection / Initial Inspection,40.775863873676,-73.958965717415,108,04,014000,1047491,1015080061,MN40,
41468415,ARABESQUE,Manhattan,4,EAST   36 STREET,10016,2125322210,Mediterranean,10/13/2016,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,9,A,10/13/2016,06/06/2024,Cycle Inspection / Initial Inspection,40.74955599458,-73.983264361537,105,04,008200,1017133,1008650069,MN20,
40402418,NEW YORK JR. LEAGUE,Manhattan,130,EAST   80 STREET,10075,2122886220,Coffee/Tea,10/13/2016,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9,A,10/13/2016,06/06/2024,Cycle Inspection / Initial Inspection,40.775863873676,-73.958965717415,108,04,014000,1047491,1015080061,MN40,
41363953,GRAMERCY TERRACE (GRAMERCY PARK HOTEL),Manhattan,2,LEXINGTON AVENUE,10010,2122012171,American,10/13/2016,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,27,,,06/06/2024,Cycle Inspection / Initial Inspection,40.738308277497,-73.985616357496,106,02,006800,1017990,1008770018,MN21,
41468415,ARABESQUE,Manhattan,4,EAST   36 STREET,10016,2125322210,Mediterranean,10/13/2016,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,9,A,10/13/2016,06/06/2024,Cycle Inspection / Initial Inspection,40.74955599458,-73.983264361537,105,04,008200,1017133,1008650069,MN20,
41468415,ARABESQUE,Manhattan,4,EAST   36 STREET,10016,2125322210,Mediterranean,10/13/2016,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9,A,10/13/2016,06/06/2024,Cycle Inspection / Initial Inspection,40.74955599458,-73.983264361537,105,04,008200,1017133,1008650069,MN20,
41363953,GRAMERCY TERRACE (GRAMERCY PARK HOTEL),Manhattan,2,LEXINGTON AVENUE,10010,2122012171,American,10/13/2016,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,27,,,06/06/2024,Cycle Inspection / Initial Inspection,40.738308277497,-73.985616357496,106,02,006800,1017990,1008770018,MN21,
40402418,NEW YORK JR. LEAGUE,Manhattan,130,EAST   80 STREET,10075,2122886220,Coffee/Tea,10/13/2016,Violations were cited in the following area(s).,10I,"Single service item reused, improperly stored, dispensed; not used when required.",Not Critical,9,A,10/13/2016,06/06/2024,Cycle Inspection / Initial Inspection,40.775863873676,-73.958965717415,108,04,014000,1047491,1015080061,MN40,
41363953,GRAMERCY TERRACE (GRAMERCY PARK HOTEL),Manhattan,2,LEXINGTON AVENUE,10010,2122012171,American,10/13/2016,Violations were cited in the following area(s).,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn in an area where food is prepared.,Critical,27,,,06/06/2024,Cycle Inspection / Initial Inspection,40.738308277497,-73.985616357496,106,02,006800,1017990,1008770018,MN21,
41363953,GRAMERCY TERRACE (GRAMERCY PARK HOTEL),Manhattan,2,LEXINGTON AVENUE,10010,2122012171,American,10/13/2016,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,27,,,06/06/2024,Cycle Inspection / Initial Inspection,40.738308277497,-73.985616357496,106,02,006800,1017990,1008770018,MN21,
41290178,DOLL'S,Queens,14432,HILLSIDE AVENUE,11435,7182910102,Latin American,10/14/2016,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,10,,,06/06/2024,Cycle Inspection / Initial Inspection,40.705170663728,-73.81167754222,412,24,023800,4207034,4096890024,QN61,
41290178,DOLL'S,Queens,14432,HILLSIDE AVENUE,11435,7182910102,Latin American,10/14/2016,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,10,,,06/06/2024,Cycle Inspection / Initial Inspection,40.705170663728,-73.81167754222,412,24,023800,4207034,4096890024,QN61,
50000846,JULESRUBY LOUNGE RENTAL,Bronx,135,WESTCHESTER SQUARE,10461,6464067183,American,10/15/2016,Violations were cited in the following area(s).,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,12,A,10/15/2016,06/06/2024,Cycle Inspection / Initial Inspection,40.840097589964,-73.842671651104,210,18,009600,2027302,2038570080,BX59,
50000846,JULESRUBY LOUNGE RENTAL,Bronx,135,WESTCHESTER SQUARE,10461,6464067183,American,10/15/2016,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,12,A,10/15/2016,06/06/2024,Cycle Inspection / Initial Inspection,40.840097589964,-73.842671651104,210,18,009600,2027302,2038570080,BX59,
50000846,JULESRUBY LOUNGE RENTAL,Bronx,135,WESTCHESTER SQUARE,10461,6464067183,American,10/15/2016,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,12,A,10/15/2016,06/06/2024,Cycle Inspection / Initial Inspection,40.840097589964,-73.842671651104,210,18,009600,2027302,2038570080,BX59,
50048255,LOTTE NEW YORK PALACE-TROUBLE'S TRUST,Manhattan,455,MADISON AVENUE,10022,2123037000,Bottled Beverages,10/19/2016,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,9,A,10/19/2016,06/06/2024,Pre-permit (Operational) / Initial Inspection,40.758107248991,-73.975393238921,105,04,010200,1035462,1012860021,MN17,
50048255,LOTTE NEW YORK PALACE-TROUBLE'S TRUST,Manhattan,455,MADISON AVENUE,10022,2123037000,Bottled Beverages,10/19/2016,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9,A,10/19/2016,06/06/2024,Pre-permit (Operational) / Initial Inspection,40.758107248991,-73.975393238921,105,04,010200,1035462,1012860021,MN17,
50035292,THE LOCAL @ JFK,Queens,NKA,JFK INTL AIRPORT 58H,11430,7187512899,American,10/20/2016,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,15,B,10/20/2016,06/06/2024,Cycle Inspection / Re-inspection,40.648312826068,-73.788281497594,483,28,071600,4000000,4142600001,QN98,
40934037,JIKJI CAFE,Queens,JFK INT'L,AIRPORT,11430,7187512003,Japanese,10/20/2016,Violations were cited in the following area(s).,04E,"Toxic chemical improperly labeled, stored or used such that food contamination may occur.",Critical,9,A,10/20/2016,06/06/2024,Cycle Inspection / Re-inspection,40.648312826068,-73.788281497594,483,28,071600,4000000,4142600001,QN98,
40934037,JIKJI CAFE,Queens,JFK INT'L,AIRPORT,11430,7187512003,Japanese,10/20/2016,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9,A,10/20/2016,06/06/2024,Cycle Inspection / Re-inspection,40.648312826068,-73.788281497594,483,28,071600,4000000,4142600001,QN98,
50035292,THE LOCAL @ JFK,Queens,NKA,JFK INTL AIRPORT 58H,11430,7187512899,American,10/20/2016,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,15,B,10/20/2016,06/06/2024,Cycle Inspection / Re-inspection,40.648312826068,-73.788281497594,483,28,071600,4000000,4142600001,QN98,
50050873,"COLUMBIA UNIVERSITY BAKER ATHLETICS COMPLEX, STAND #2",Manhattan,533,WEST  218 STREET,10034,2128548324,Hotdogs,10/22/2016,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,33,,,06/06/2024,Pre-permit (Operational) / Initial Inspection,40.871922776589,-73.915805630187,112,10,029700,1082066,1022440001,MN99,
50050864,"COLUMBIA UNIVERSITY BAKER ATHLETICS COMPLEX, STAND #1",Manhattan,533,WEST  218 STREET,10034,2128548324,Hotdogs,10/22/2016,Violations were cited in the following area(s).,05D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,Critical,10,A,10/22/2016,06/06/2024,Pre-permit (Operational) / Initial Inspection,40.871922776589,-73.915805630187,112,10,029700,1082066,1022440001,MN99,
50050873,"COLUMBIA UNIVERSITY BAKER ATHLETICS COMPLEX, STAND #2",Manhattan,533,WEST  218 STREET,10034,2128548324,Hotdogs,10/22/2016,Violations were cited in the following area(s).,05H,"No facilities available to wash, rinse and sanitize utensils and/or equipment.",Critical,33,,,06/06/2024,Pre-permit (Operational) / Initial Inspection,40.871922776589,-73.915805630187,112,10,029700,1082066,1022440001,MN99,
50008280,WILD ORCHID BAR & LOUNGE,Queens,11148,LEFFERTS BLVD,11420,3479609997,American,10/27/2016,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,17,,,06/06/2024,Cycle Inspection / Initial Inspection,40.680197478702,-73.821223307209,410,28,010200,4250424,4116230030,QN55,
50008280,WILD ORCHID BAR & LOUNGE,Queens,11148,LEFFERTS BLVD,11420,3479609997,American,10/27/2016,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,17,,,06/06/2024,Cycle Inspection / Initial Inspection,40.680197478702,-73.821223307209,410,28,010200,4250424,4116230030,QN55,
50008280,WILD ORCHID BAR & LOUNGE,Queens,11148,LEFFERTS BLVD,11420,3479609997,American,10/27/2016,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,17,,,06/06/2024,Cycle Inspection / Initial Inspection,40.680197478702,-73.821223307209,410,28,010200,4250424,4116230030,QN55,
50008280,WILD ORCHID BAR & LOUNGE,Queens,11148,LEFFERTS BLVD,11420,3479609997,American,10/27/2016,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,17,,,06/06/2024,Cycle Inspection / Initial Inspection,40.680197478702,-73.821223307209,410,28,010200,4250424,4116230030,QN55,
50050878,"COLUMBIA UNIVERSITY BAKER ATHLETICS COMPLEX, STAND #3",Manhattan,533,WEST  218 STREET,10034,2128548324,Coffee/Tea,10/28/2016,No violations were recorded at the time of this inspection.,,,Not Applicable,0,,,06/06/2024,Pre-permit (Operational) / Initial Inspection,40.871922776589,-73.915805630187,112,10,029700,1082066,1022440001,MN99,
41431210,MARACUS CLUB AND RESTAURANT,Queens,121-08,JAMAICA AVENUE,11418,7188487171,American,10/29/2016,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,10,A,10/29/2016,06/06/2024,Cycle Inspection / Re-inspection,40.700524796652,-73.828064204629,409,29,014400,4195994,4093310008,QN54,
41431210,MARACUS CLUB AND RESTAURANT,Queens,121-08,JAMAICA AVENUE,11418,7188487171,American,10/29/2016,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,10,A,10/29/2016,06/06/2024,Cycle Inspection / Re-inspection,40.700524796652,-73.828064204629,409,29,014400,4195994,4093310008,QN54,
